Unnamed: 0.1,language,rating,category,text
93,russian,5.0,perfumes,"шлейф превосходный ,  восторг 
"
94,russian,5.0,perfumes,"быстрый доставка . запах обалденный . слово нет ! 
"
95,russian,5.0,perfumes,"стойкий запах 
"
96,russian,5.0,perfumes,"доставка кокшетау ужасный . 
 первый приходиться отказываться доставка  ( неадекватный диспетчер ) . перезаказывать второй раз . 
 доставка почта супер . брать качество подарок брат . аромат понравиться все . 
"
97,russian,3.0,perfumes,"флакон приятный держаться недолго (
"
98,russian,5.0,perfumes,"отличный ,  стойкий запах ! понравиться .  100 %  оригинал ,  сомнение ! 
"
99,russian,5.0,perfumes,"устойчивый запах . покупать все отлично ,  супер сильный жара ,  не использовать 
"
100,russian,5.0,perfumes,"очень приятный аромат ! насыщенный ! удобный быстрый доставка 
"
101,russian,5.0,perfumes,"купить муж ,  восторг ! 
"
103,russian,5.0,perfumes,"доставлять следующий день ! очень понравиться духи ,  очень сладкий вкусный ,  шлейф приятный . весь советовать ,  такой цена думать не очень ,  духи оказываться просто шикарный ! удивлять общий 
"
105,russian,5.0,perfumes,"аромат просто шикарный ,  очень советовать мужской пол 
"
107,russian,1.0,perfumes,"нота ,  описывать парфюм ,  не услышать . абсолютно не соответствовать . ни фруктовый ,  ни цветочный нота . приторный ,  пудрить сладость ,  не любить такой . второй не глядеть заказывать ошибаться ,  очень расстраиваться . не быть полагаться отзыв описание . нужно пробовать магазин заказ . 
"
108,russian,5.0,perfumes,"аромат шикарный ,  цена parfum . kz чересчур завышать ,  хотя не являться официальный дистрибютор .  53 000 50 мл ,  соглашаться ,  дорого . 
"
109,russian,5.0,perfumes,"также хотеть выражать огромный благодарность каспи магазин возможность покупать любой товар не выходить дома . очень нежный ,  вкусный женский аромат . желательно пользоваться прохладный погода ,  лето ,  дождливый погода ,  основной осень ,  зима весна )  оставаться очень довольный свой покупка . любитель нежный сладкий аромат советовать приобретать парфюм ,  не пожалеть ! )
"
110,russian,5.0,perfumes,"класс ! 
"
111,russian,5.0,perfumes,"магазин хороший ,  запах стойкий 
"
112,russian,1.0,perfumes,"не советовать ,  нестойкий запах . наверное ,  не оригинал . запах хороший . нестойкий . 
"
113,russian,1.0,perfumes,"доставлять очень быстро . запах нестойкий . долго не держаться ,  час сила . 
"
114,russian,5.0,perfumes,"самый любимый аромат 
"
115,russian,5.0,perfumes,"lacoste знакомый давно . любить аромат . классный ! не пробовать ,  попробовать ,  не пожалеть . спасибо магазин apg техникс сотрудник . не первый покупка они . и ,  конечно ,  спасибо кaspi . kz ! 
"
116,russian,5.0,perfumes,"супер нормальный 
"
117,russian,5.0,perfumes,"запах классный ,  довольный 
"
118,russian,5.0,perfumes,"запах очень стойкий ,  понравиться 
"
119,russian,3.0,perfumes,"запах не тот ,  состав что-то поменяться . рано 2004 год покупать ,  аромат 
"
120,russian,1.0,perfumes,"запах долго не держаться сильно отличаться оригинал . покупать проверенный магазин 
"
121,russian,1.0,perfumes,"не покупать ,  не советовать . запах просто ужасный ! пользоваться этот духи 2009 - 11 год . арамат . не тот ,  далеко не тот . купить сразу большой флакон ,  не знать ,  девать ,  жалко . деньги выбрасывать ветер . 
"
122,russian,4.0,perfumes,"духи супер . запах тот ,  который хотеть ,  доставка вовремя . запах стойкий ,  прямой мой характер ! советовать приобретать . цена большой . 
"
123,russian,3.0,perfumes,"не знать ,  вы ,  запах не стоить долго ,  быстро выветриваться 
"
124,russian,5.0,perfumes,"супруга понравиться . 
"
125,russian,5.0,perfumes,"вполне стойкий . довольный покупка ,  спасибо ! 
"
126,russian,3.0,perfumes,"запах очень классный ,  приятный нестойкий ,  держаться максимум 3 час 
"
127,russian,5.0,perfumes,"быстрый доставка указанный время ,  жена довольный . запах стойкий . 
"
128,russian,5.0,perfumes,"отличный аромат ,  долго держаться . запах  "" тот ""
"
129,russian,3.0,perfumes,"запах приятный ,  время холодный ! запах держаться недолго ! 
"
130,russian,5.0,perfumes,"хороший аромат стойкий . 
"
131,russian,4.0,perfumes,"запах офигенный ,  очень стойкий . служба доставка просто ужас ! 
"
132,russian,5.0,perfumes,"духи оригинальный ,  жена довольный подарок . спасибо каспи )
"
133,russian,5.0,perfumes,"доставка быстро ,  молодец . оригинал ,  очень радовать . 
"
134,russian,5.0,perfumes,"супер ,  дух стойкий ,  они пользоваться ,  не пожалеть ,  заказывать вы . 
"
135,russian,5.0,perfumes,"просто супер ,  хороший запах 
"
136,russian,3.0,perfumes,"товар хороший ,  запах долго не держаться . запах не тот ,  ожидать . 
"
137,russian,5.0,perfumes,"парфюм очень хороший ,  брать не первый раз . очень довольный покупка . 
"
138,russian,5.0,perfumes,"всегда ,  высота )  запах самый приятный ,  цветочный . не парфюм ,  туалетка ,  равный запах держаться ! доставка вообще супер ,  приносить день рано ! 
"
139,russian,5.0,perfumes,"самый стойкий запах мир ! стойкий просто придумывать . очень женственный запоминаться жизнь ! спасибо магазин sulu - kz ,  доставлять мгновенно ! 
"
140,russian,5.0,perfumes,"просто бомбический парфюм ,  любовь первый пшик .  
 очень стойкий ,  ощущать течение день .  
 куртка вешать шкаф ,  утро открывать аромат стоять .  
 очень интересный перелив звучание роза ,  шлейфовый аромат ,  превосходить ожидание .  
 брать 10 мл проба ,  однозначно быть брать большой объем . однозначно рекомендовать покупка . 
"
142,russian,5.0,perfumes,"монталь хороший ,  запах не мой . любить нежный запах 
"
143,russian,5.0,perfumes,"спасибо курьер магазин сулу ,  вовремя приносить стойкий аромат ! не пожелать ! 
"
145,russian,5.0,perfumes,"запах класс 
"
146,russian,5.0,perfumes,"духи мой мечта . очень понравиться запах ,  спасибо каспи такой возможность купить 
"
147,russian,5.0,perfumes,"очень стойкий парфюм . советовать . 
"
148,russian,5.0,perfumes,"запах обалденный ! устойчивость супер ! 
"
149,russian,4.0,perfumes,"запах не стойкий ! не стоять этот деньги 
"
150,russian,5.0,perfumes,"запах классный ,  очень понравиться ,  жаль ,  магазин не давать пакетик он . мелочь ,  деталь должный учитывать . 
"
152,russian,5.0,perfumes,"купить данный одеколон сын подарок ,  оставаться очень довольный ! спасибо ! 
"
153,russian,5.0,perfumes,"отличный товар . 
"
154,russian,5.0,perfumes,"своевременный доставка . брать ранее monamie ,  запах не стойкий ,  заказывать parfum shop очень довольный . стойкий аромат ,  спасибо . 
"
155,russian,3.0,perfumes,"быстрый доставка ,  хороший парфюм не стойкий 
"
156,russian,5.0,perfumes,"классно очень нежный ,  стойкий аромат . один слово ,  восторг запах . спасибо все 
"
157,russian,5.0,perfumes,"духи стойкий ,  приходить быстро ! спасибо каспи 
"
158,russian,5.0,perfumes,"безумно рад ,  приобретать дух 
"
159,russian,5.0,perfumes,"доставка время . lanvin ,  ожидать ,  супер 
"
160,russian,4.0,perfumes,"нежный ,  стойкость 4 - 5 час 
"
161,russian,5.0,perfumes,"спасибо огромный . отличный легкий аромат 
"
162,russian,5.0,perfumes,"аромат просто класс 
"
163,russian,4.0,perfumes,"ночь заказывать ,  следующий день позвонить день доставлять ,  apg техникс понравиться . очень женственный ,  нежный нестойкий 
"
164,kazakh,5.0,perfumes,"иісі жағымды ,  жұмсақ ,  өте ұстамды . әрі сапал . 
"
165,russian,5.0,perfumes,"хороший аромат 
"
166,russian,1.0,perfumes,"запах нестойкий ! 
"
167,russian,5.0,perfumes,"парфюм супер ,  понравиться . доставка отлично работать . спасибо ваш работа . 
"
168,russian,3.0,perfumes,"запах нестойкий . 
"
169,russian,5.0,perfumes,"цена просто удивлять ,  очень мило получать доставка качественный продукт . обычно дютя фри распродажа находить 10 - 13 евро ,  то ,  повезти . спасибо . прекрасный аромат ,  отличный качество упаковка ,  ожидание подтверждаться . доставка лишний казус . спасибо вы ,  планировать заказывать еще . 
"
170,russian,5.0,perfumes,"прекрасный аромат ,  стойкий запах . 
"
171,russian,5.0,perfumes,"быстрый доставка . очень нежный аромат . 
"
172,russian,4.0,perfumes,"быстрый ,  оперативный доставка ,  качественный обслуживание оператор . подарок мама ,  сей пора не понимать прочувствовать аромат . 
"
173,russian,2.0,perfumes,"спасибо доставщик доставка ! запах хороший ,  не стойкий ! ожидать хороший . 
"
174,russian,5.0,perfumes,"очень понравиться ! женственный нежный запах  ;)  запах стойкий . 
"
175,russian,2.0,perfumes,"запах хороший нестойкий 
"
176,russian,4.0,perfumes,"запах очень нежный ,  цветочный нестойкий 
"
177,russian,1.0,perfumes,"не быть покупать аромат держаться ужасно . буквально минута 3 ,  не много . не советовать 
"
178,russian,5.0,perfumes,"духи классный ,  стойкий . 
"
179,russian,1.0,perfumes,"нестойкий запах . 
"
180,russian,5.0,perfumes,"спасибо магазин каспи . быть заказывать еще ! аромат понравиться . запах очень приятный . нежный ,  легкий ,  сладковатый . 
"
181,russian,5.0,perfumes,"товар отличный . арамат деловой женщина . качество сортветствовать цена 
"
182,russian,1.0,perfumes,"очень спирт ,  быстро проветриваться 
"
183,russian,5.0,perfumes,"запах очень нежный . восторг . 
"
185,russian,5.0,perfumes,"быстрый доставка . качество супер ,  запах нежный . 
"
186,russian,1.0,perfumes,"запах не стойкий ,  не быть заказывать . 
"
187,russian,5.0,perfumes,"классный запах ! 
"
188,russian,5.0,perfumes,"запах необычный . довольный . 
"
189,russian,5.0,perfumes,"хороший ,  легкий ,  цветочный аромат . 
"
190,russian,4.0,perfumes,"стоить свой деньги ,  цена соответствовать качество . запах хороший ,  не стойкий . 
"
191,russian,2.0,perfumes,"запах приятный ,  особо не чувствоваться 
"
192,russian,5.0,perfumes,"брать дочь парфюм . соответствовать описание . запах понравиться очень . цветочный ,  девичий ,  нотка фруктовый компотик . не слишком сладкий . стойкость весь день . 
"
193,russian,5.0,perfumes,"вкусный аромат ,  доставлять день 
"
194,russian,5.0,perfumes,"самый приятный сладкий запах ,  зима самый хороший 
"
195,russian,4.0,perfumes,"приятный нежный запах ,  понравиться . быстрый доставка стойкость 2 - 3 час 
"
196,russian,2.0,perfumes,"быстрый доставка не стойкий ,  ожидаться 
"
197,russian,1.0,perfumes,"жаль ,  конечно ! стоять новый ! красивый бутыль . запах нестойкий ! спирт ! такой ощущение ,  вода аромат плюс спирт ! 
"
198,russian,5.0,perfumes,""" дион ""  попробовать тестер аромат пятница день ,  держаться долго ,  следующий день . стоить 17 тысяча )  аромат очень понравиться ,  решать заказывать каспи ,  цена 12477 тенге . приятный ,  нежный фруктовый - цветочный аромат .  2009 год аромат escada  "" moon sparkle ""  похожий lanvin jeanne . 
"
199,russian,5.0,perfumes,"отлично . товар качественный . доставлять быстро 
"
200,russian,5.0,perfumes,"очень нежный аромат . не надоедать . доставка быстрый . супер . спасибо каспи )
"
201,russian,5.0,perfumes,"аромат очень нежный ,  стойкий ,  советовать 
"
202,russian,5.0,perfumes,"запах шикарный . довольный 
"
203,russian,5.0,perfumes,"аромат супер ! товар доставлять рано намечать срок ,  очень порадовать вдвойне )
"
204,russian,5.0,perfumes,"стойкий запах ,  довольный ! 
"
205,russian,4.0,perfumes,"спасибо вы . аромат понравиться . стойкий ,  запах нежный ,  женственный . вовремя доставлять . быть еще заказывать ока 
"
206,russian,5.0,perfumes,"запах нежный ,  понравиться 
"
207,russian,5.0,perfumes,"аромат просто восхитительный 
"
208,russian,5.0,perfumes,"аромат известный ,  долго искать ,  наконец - то я ! упаковка слой ,  курьер вежливый ,  доставка вовремя . спасибо каспи магазин ! 
"
209,russian,5.0,perfumes,"хороший качество товар ,  запах стойкий . 
"
210,russian,5.0,perfumes,"супер замечательно 
"
211,russian,5.0,perfumes,"запах просто офигенный 
"
212,kazakh,5.0,perfumes,"өте жақсы ,  маған ұнады . рахмет сіздерге ! 
"
213,russian,5.0,perfumes,"мой любимый . обожать ! 
"
214,russian,5.0,perfumes,"товар соответствовать описание . брать подарок новый год . очень порадовать доставка ,  успевать праздник . упаковывать ,  помятость . довольный . спасибо каспи 
"
215,russian,3.0,perfumes,"запах не тот ,  который ожидать . цена не соответствовать качество 
"
216,russian,5.0,perfumes,"супер запах ! спасибо вы ! 
"
217,russian,5.0,perfumes,"очень понравиться . спасибо большой . 
"
218,russian,5.0,perfumes,"запах хороший ,  не стойкий . запах тот ,  хотеть . быстро выветриваться . 
"
219,russian,5.0,perfumes,"просто класс ! 
"
220,russian,5.0,perfumes,"жена восторг подарок . спасибо каспи такой возможность приобретать рассрочка переплата . очень хороший банк . нет равный . дух оригинал . розлив франция . 
"
221,russian,5.0,perfumes,"быть заказывать еще каспи . жаль ,  пробник нет )  запах нежный ,  летний . духи оригинал ,  100 % . не шлейфовый . каждый день . понравиться . 
"
223,russian,3.0,perfumes,"доставлять рано срок . спасибо каспи оперативность аромат приятный ,  не стойкий . 
"
224,russian,5.0,perfumes,"мягкий ,  очень нежный аромат запах отличный ,  долго держаться ! ока 
"
225,russian,5.0,perfumes,"доставка быть ,  часто звонить просить ,  забирать ,  мой упорство заставлять доносить квартира хороший качество ,  то ,  хотеть . жена нравиться подарок 8 март 
"
226,russian,5.0,perfumes,"не пожалеть ,  заказывать )  аромат очень стойкий 
"
227,russian,5.0,perfumes,"спасибо ,  очень понравиться запах ,  держаться офигенный . доставлять рано время 
"
228,russian,3.0,perfumes,"запах очень неплохой ,  соответствовать оригинал ! запах ,  пожалуй ,  нестойкий свой цена . 
"
229,russian,3.0,perfumes,"вроде парфюм ,  туалетный вода заказ принимать быстро . доставка организовывать рано . сервис каспи магазин понравиться . раз ,  думать ,  что-нибудь приобретать немножко отличаться покупка дьютя фри . не устойчивый 
"
230,russian,5.0,perfumes,"долго мечтать . очень рад ,  мечта сбываться . спасибо вы ,  отлично . товар оригинал . курьер встречать . 
"
231,russian,4.0,perfumes,"запах приятный минус нет 
"
232,russian,5.0,perfumes,"любимый парфюм 
"
233,russian,5.0,perfumes,"сделать подарок мама ,  очень рад 
"
234,russian,3.0,perfumes,"получать где-то неделя назад ,  запах офигенный держаться недолго 
"
235,russian,5.0,perfumes,"отличный качество ,  стойкий . советовать продавец parfum - shop - kz )
"
236,russian,5.0,perfumes,"очень оперативно ,  быстро доставлять . дарить мама 8 март ,  очень понравиться ,  классный запах ,  главное ,  оригинал ,  рекомендовать ! 
"
237,russian,5.0,perfumes,"спасибо . любимый парфюм . доставка спасибо ,  астана заказывать сестра алмат . очень понравиться . дарить подарок друг друг ,  ценить каждый миг . 
"
238,russian,5.0,perfumes,"запах супер ,  оригинал . 
"
239,russian,2.0,perfumes,"не оригинал . очень слабый . 
"
240,russian,3.0,perfumes,"купить подарок мама ,  запах прикольный ,  но ,  сожаление ,  нестойкий 
"
241,russian,5.0,perfumes,"аромат хороший ,  свежий . очень нестойкий . 
"
242,russian,5.0,perfumes,"запах просто класс . рекомендовать . 
"
243,russian,5.0,perfumes,"качество очень хороший ,  запах очень нравиться ,  спасибо 
"
244,russian,4.0,perfumes,"запах аромат очень понравиться ,  то ,  хотеть аромат нестойкий ,  выветриваться быстро ! 
"
245,russian,4.0,perfumes,"запах освежать быстро выветриваться ,  запах нестойкий 
"
246,russian,5.0,perfumes,"товар понравиться ,  быстро доставлять ,
"
247,russian,5.0,perfumes,"аромат классный ,  не очень стойкий ! быстрый доставка ,  упаковывать отлично . 
"
248,russian,1.0,perfumes,"запах хороший долго не держаться ,  час запах нет 
"
249,russian,5.0,perfumes,"очень приятный запах 
"
250,russian,5.0,perfumes,"спасибо ,  огромный ! очень удобно быстро . качество товар претензия нет вообще . действительно стойкий аромат ,  очень нежный . 
"
251,russian,1.0,perfumes,"запах вообще не стоить . базар 3000 купить ! 
"
252,russian,4.0,perfumes,"очень хороший повседневный аромат ,  запах приятный ,  ненавязчивый ,  понравиться 
"
253,russian,5.0,perfumes,"классный ! стойкий ,  брать подарок дочь ,  очень понравиться ,  спасибо 
"
254,russian,5.0,perfumes,"ненавязчивый легкий аромат . шлейф .  
 израсходовать 5 месяц ,  заказывать случай . покупка довольный ! 
"
255,russian,5.0,perfumes,"запах обалденный ! нестойкий 
"
256,russian,5.0,perfumes,"духи соответствовать :  цена = качество . товар приходить рано заявлять срок ,  быть ,  конечно ,  мой удивление ,  большой плюс магазин . спасибо большой ,  радовать делать вкусный ! 
"
258,russian,5.0,perfumes,"вовремя доставлять . курьер очень вежливый . быть далеко пользоваться услуга . качество отличный ,  товар оригинал ,  запах долго держаться . 
"
259,russian,3.0,perfumes,"аромат не стоить свой деньги ,  нестойкий . 
"
260,russian,5.0,perfumes,"туалетный вода 100 %  оригинал . очень сильно понравиться ,  аромат просто божественный . 
"
261,russian,5.0,perfumes,"классно ,  очень нравиться запах ,  стойкость классный ,  супер ,  спасибо быстрый доставка 
"
262,russian,5.0,perfumes,"духи супер ! 
"
264,russian,5.0,perfumes,"спасибо parfum shop доставка . запах очень понравиться , сладкий нежный . 
 проверять штрих код дух оригинал ,  страна франция . запах держаться день . 
"
265,russian,5.0,perfumes,"качество хороший 
"
266,russian,5.0,perfumes,"стойкий аромат . 
"
267,russian,4.0,perfumes,"доставлять быстро ,  товар хороший ,  запах стойкий 
"
268,russian,5.0,perfumes,"аромат приятный ,  не резкий ! жена оставаться довольный 
"
269,russian,5.0,perfumes,"круто . дешево ,  магазин мы ,  еще рассрочка . )  привозить быстро ,  5 день . сам дух оригинал 
"
270,russian,5.0,perfumes,"восхитительный аромат очень качественный парфюм понравиться 
"
271,russian,5.0,perfumes,"супер 
"
272,russian,5.0,perfumes,"отличный аромат 
"
273,russian,5.0,perfumes,"быстрый доставка ,  аромат стойкий ,  рекомендовать все ,  очень удобно 
"
274,russian,5.0,perfumes,"шикарный аромат 
"
275,russian,5.0,perfumes,"спасибо ! получать свой заказ ,  оригинал . запах же . доставка очень быстрый оперативный ! 
"
276,russian,5.0,perfumes,"давно пользоваться это духи ,  классный очень понравиться ,  спасибо 
"
277,russian,4.0,perfumes,"товар приходить быстро ,  отличный состояние . качество обслуживание понравиться ,  быть дальнейший обращаться . этот духи пользоваться 3 год . запах нравиться ,  вкус ,  быстро выветриваться . поэтому 4 . 
"
278,russian,5.0,perfumes,"неповторимый запах ,  актуальный . 
"
280,russian,5.0,perfumes,"тонкий вкус . не резкий ,  не сладкий . 
"
281,russian,5.0,perfumes,"отлично . товар привозить быстро . запах очень стойкий . спасибо магазин каспи ,  предоставлять мы такой возможность 
"
282,russian,5.0,perfumes,"все супер ! спасибо большой ! 
"
283,russian,5.0,perfumes,"быстро доставлять качество супер . запах стойкий 
"
284,russian,5.0,perfumes,"мой любимый запах ,  товар оригинал . доставка быстрый следующий день ,  плюс предоставлять магазин скидка следующий покупка . довольный 
"
286,russian,5.0,perfumes,"привозить товар день рано срок . спасибо супер . запах стойкий 
"
287,russian,5.0,perfumes,"хороший туалетный вода ,  запах очень нравиться . 
"
289,russian,3.0,perfumes,"аромат понравиться . быстро отправлять . цена завышать намного . невыгодно . 
"
290,russian,5.0,perfumes,"все советовать ,  оригинал ! отличный ланвина приятный доставка ,  высота ! 
"
291,russian,5.0,perfumes,"спасибо ,  kaspi . kz ! товар приходить целый . запах отличный . стойкий . оригинал . спасибо большой . 
"
293,russian,4.0,perfumes,"запах стойкий . видно ,  оригинал . мой мнение ,  аромат взрослый . не подходить молодой . 
"
294,russian,5.0,perfumes,"держать долго . очень мягкий глубокий аромат . 
"
296,russian,5.0,perfumes,"все отлично ,  купить парень подарок 23 февраль ,  очень нежный аромат . продавец спасибо ! 
"
297,russian,5.0,perfumes,"спасибо магазин apg техникс ,  доставка обслуживание высокий уровень )  стойкий ,  качественный аромат ! цена объем радовать )  претензия нет 
"
